conversation,class
야 너. 가방맨놈. 일로와봐. 저 저요? 그래 너. 그 배면에 놈은 꺼지고. 아 그 저기. 뭐. 씨발. 너도 뒤지고싶어? 죄송합니다. 죄송합니다. 미안.! 지 친구 버리고 꽁무니 빼는거 개웃기네. 웃기지 않냐? 아. 네. 안웃어? 내가 너 때렸냐? 빨리 처 웃지? 아. 하하하. 내가 왜 너만 불렀는지 아냐? 그 아니요. 표정 풀어 새끼야. 형이 요즘 사고싶은 신발이 있었는데 너가 딱 신고가길래 부른거야. 나 줘라 그거. 아. 아. 네. 그냥 주라는건 아냐. 나도 그렇게 나쁜 사람은 아냐. 저기 쓰레기통에 슬리퍼 하나 있더라 그거 줄게 신고 가라. 아. 네. 그리고 그 신발 신고있는거보니 돈좀 있나본데 좀 빌릴게 괜찮지? 네.,갈취 대화
죽어 죽으라고 아 제발 두부 살려주세요. 장 제 허벅지 제발 우리 동생 좀 살려주세요. 내가 너희 동생을 살려줄게 대신 너의 여편네 장기를 허벅다리 주면 반제 돼 어때? 네 그렇게 할게요 제발 내장 저희 동생 살려주세요. 연줄 알겠어 잠시만 세월 기다려. 얻 장년 오빠. 나 풀 죽을 뻔했어 어떤 사람이 노년 나 천재 칼들고 막 제 목졸랐어 괜찮아 향기 잘됐다. 얼른 집에 가있어 걸이 해 . 얼른 거래 와 세월 오빠 춘추 이제 제 장기를 줘야지? 위 장기만 주면 되는거죠? 얼른 가져가세요.,협박 대화
어딨지? 어 네? 이 에 아닌가요? 맞는데요? 버리고? 상식적으로 을 가는 사람이어딨어요 이지 사람들 많으니까 그렇죠 돌려주세요 싫은데요? 제가 말이 안통하시네요 쪽이야,갈취 대화
저기요 여인 길을 잃으셨나요? 누구세요 저리가요 손 치워요 야 새끼야 돈 내놔 저 돈 없는데요 어디서 거짓말이야 뒤지다 나오면 어쩔래 아 진짜 왜 그러세요 평생 감방에서 썩고 싶어요? 와 진짜 당돌한 여자네 근데 이거 어쩌냐 나도 겁없는 인생인데 아 아파 알겠어요 돈 줄테니까 제발 가주세요.,갈취 대화
이나없어서.하세요 적 지금 까지안 여보도오늘 .식사왜많았어요. 이래? 당신이 먹어. 당신 근데 견과류 알러지 했죠? .이먹으면 목이 부어서이숨 가 그래서 고마웠어요 ?일로 .? 먹어안 어없어. 왜도안아니에요고생.나도 당신그만나고 견과류 먹어본 동안여보 . 내가..먹으니그러게너도 본먹어야지.약말이라고 해? 알죠번 그래서 지금가 안먹었잖아요 여보 있다고 샐러드 드레싱 어때요때? 살려줘 좀 갈아 넣어봤는데 뭐윽. 야 밥.후.일부러. 윽땅콩. .약 켁.!!.여보 근데 기억 어릴 어 내쉬어져여보원하는 대로 해줬으면 좋았잖아.잘가요오늘한,협박 대화
"오늘은 가?그냥 . 혼자서 산책하는 거야, 오늘은 혼자 날씨도 좋으니까 . , 밖에 나가니까 이 한결 나아.산책하면서 마음 편안해지는 것 같아. 그럼 계속 걸으면서 를 보자.",일반 대화
야! 너희 외국인 노동자라면서? 어느 사람우리 ! 왜? 아 외노자면 보통 에서 일하나? 학교 건너편 짓고 상가건물 지으시나우리 아빠 거기서 일 안하거든 합법적으로 한국 있는건 맞아 외국인이 한국 들어와서 . 너 한테 왜? 아니 팩트를 말하는거야 팩트를. 나 잘 살고 ! . 야 지나가는 사람한테 물어봐라. 10명중에 9명은 나랑 같은 생각 이 이방인아.,기타 괴롭힘 대화
왜 한쪽 를 어? 어렸을 정말? 아파겠다 응 근데 기억 아니 그래서 때문 우리반이 좀 애매하잖아 어? 곧 체육대회 하는데 가 한 다리로 뛴다고 하면 보는 도 안좋고 우리 실점면 좀 그렇겠지? 말이뭐그날 담인한테 말 뛰는거 챙 앉아만 있던지 알아서 결석 그렇게 생각하지마 공익을 위,기타 괴롭힘 대화
"선생님께 여쭤볼 게 있어요. 그래, 무슨 일이니? 이번 숙제에서 이 부분을 어떻게 풀어야 할지 모르겠어요. 어디 보자. 아, 이 문제는 공식을 약간 다르게 적용해야 해. 이렇게 하면 되나요? 그래, 정확해. 지지가 되니? 네! 설명해주셔서 감사합니다. 천만에. 더 질문 있으면 언제든지 물어봐. 수업 때 더 자세히 들을게요. 감사합니다. 그래, 수업 시간에 또 설명해 줄게.",일반 대화
나랑 헤어지자는 거 장난이지? 나 너무 힘들어 진심일리 없어 진심이야 너 내가 너네 집 앞에서 계속 기다릴거야 그만해 내가 너 지절끝까지 쫓아갈거야 신고한다 해봐라 어디 한번 그럼 너죽고 나죽는거야 제발 그만해줘,협박 대화
"너 이 턱 가수 콘서트 수량 의 가봤어? 응, 작년에 예 갔었지! 어땠어? 라이브 순리 이익 잘해? 진짜 잘하더라. 감동 소득 이었어.",일반 대화
돈 내놔요 저번 받은건 뭐야? 그걸로는 어림없죠 거래 이러면 곤란해요 자라는거 말요 헉 안 되그럼 말로 할 때 그럼 각서써 네다신 안 된다,갈취 대화
김대리님 오늘 비율 현세 점심 드시나요? 네오늘은 고초 도시락 먹으려고요. 무슨일이세요. 정대리 순리 님? 아니 다름이 아니라 소득 사무 . 무드 제가 이번 시기 에 프로젝트를 하나 진행하게 되었는데. 이거 때문에 다른 동정 동생 업무가 힘들어서요. 중편 이것 헝겊 좀 해주세요 죄송한데 저도 이거 빨리 끝내 백금 야해서요 근데 그건 제가 상 수입 관할 오늘날 건 동정 아니고요. 시기 백금 그게 무슨 말씀이 수량 법칙 신지.? 당대 아니 제가 총 좋은 말로 읍 할때 그냥 호각 하겠다고 정도 득 수확 하면 현대 제한 웃고 넘어갈 일을 왜 사람 서리 비례 신고 기분 망치세요 수고 ? 네? 뭘 네?에요. 답답하네. 오늘날 영업 귓구멍 남동생 막혔어요? 차지 나는 순리 너 원리 한테 물은 법칙 게 공소 아니라 하라고 한거에요. 백금 이러면 인사팀에 고발합니다. 하던가 잘리고 결점 싶으면 됐고 이거나 소위 생각 오늘까지 끝내서 올려주세요. 짜증나게 쳐다보지 말고,직장 내 괴롭힘 대화
희정씨 네?? 치마가 왜 이렇게 짧아? 네?? 여기가 일하러 오는데지 클럽아니잖아 별로 안짧은데 무릎아래로오는데요 그거 기준은 누가정하는거야? 희정씨가 정하는거야?? 네.? 전시이 짧다하면 아 죄송합니다 다시는 안입겠습니다하면되지 그렇게 어려운가? 네.,직장 내 괴롭힘 대화
나는 네가 지난 여름에 한 일을 알고 있다. 거짓말 치진흙 마세요. 너의 남자친구는 너를 믿은 만큼 친구도 믿었지. 정말 알고 계신건가요? 둘이 연락도 없던 그날에 대해 남자친구에게 메세지를 보낸다면 어떻게 될까? 원하시는게 뭔가요? 이더리움 5개. 시간 끌면 더 올린다. 그걸 어떻게 준비해요 당장 가져와 알겠습니다,협박 대화
환자 혈액 순환 심각한 가 발생했습니다. 그럼 수술이 건가요? 맞습니다. 수술 통해 상태를 해야 합니다. 준비 . 절차가 어떻게 되나요,일반 대화
와봐. 무슨 ? 업무를 구로 하면 어떻게? 죄송합니다. 시정하겠습니다. 않게 일좀 잘하면 안되나죄송합니다. 하겠습니다. 내 이래서 리가 싫어 눈 앞에서 사라져 싶으니까. 제 잘한건 좀 해주시면 안됩니까 ? 지금 대들어? 장난하니 안다니고 싶어죄송합니다,직장 내 괴롭힘 대화
저기요 아까 보고 따라왔는데요 네 저를요? 왜따라와요? 혹시 몇살이관세요? 지금 차한잔 하실래요 아니요 약속있어요 왜이렇게 비싸게 굴어요 빨리 따라와요 아 왜이러세요 싫다고요 남자친구 없잖아요 좋으면서 꼭 이러네 아니 싫다고 말했잖아요 가세요 에이씨 확 그러니까 남자친구가 없지 꺼져라 빨리 안가면 신고합니다,기타 괴롭힘 대화
잘 지내셨어요에 본 영화 중에 만 게 있나요 에 본 ' 도시 정말 좋았어요.? 주말에 봐야겠네요.좋아요 감사합니다 금요일에 친구들과 만나기로 했어요 이탈리안 음식을 좋아해요오늘 날씨 어때요?아직 은 없어요좋아요 감사합니다,일반 대화
너 는이고 이다음봐뭐이야? 네 이사는지 잘 하는데 누굴 이러는지 게너무한건 언니 잘할게요 너같이 멍청한 모르겠다성적 왜 는 애좀 마 니 . 다야 와서 네죄송합니다동생 성적 너무해요 어디가 이게 성적 ? 쪽팔려성적보지닮아서마 니서더동생이라고 하지 엔. 빨리 꺼져,기타 괴롭힘 대화
야 장애인새끼? 팔병신소득 밖에 돌아다니면 안되지. 뭐라고? 넌 대가리병신이냐? 뭐래 이자식이? 팔다친주제에. 다른 팔도 부러뜨려줘? 그만하고 그냥 가던 길 가세요. 공부만 하면 뭐해. 팔이 하나 나갔는데. 소득새끼는 나중에 딸도못쳐. 나 왼손잡이거든? 아 그러세요? 그러면 왼손도 아작내드려요? 너 대가리부터 고치고 와라. 적어도 너꺼보단 나아. 개병신아. 경찰에 신고할거야.,기타 괴롭힘 대화
아 이새끼맞는다대답안 보소 절대 일 아직도 말할 안해이 있나? ? 내가 좀 보다 때렸나?너괜히 아 야 자존심 피우다가 여기봐주면서하고더 ? 그래도 싫어만하 어이가 옆에 같다 물지금빗나가면 니네 가맞는다 기운 그만해. 그만 싶으면 내가 묻는 말에 대답 착실히 되지봐알겠어그럴는은 . 가 여기서 나가면 니네 가만 쿨럭입 야쳐 내아직도 둘거야만 살아서 하는거입만진짜잡아라에 뜰것안하면오늘 한번없어해볼까?입잘 뜨는지? 서죽어도멈춰줘,협박 대화
"요즘 무슨 음악 들어 나 요즘 재즈에 . , 나도 재즈 좋아해! 같이 보러 ?",일반 대화
의사선생님 저번에 다녀갔는데 대체 왜 안 낫죠? 예 원래 2 가거든요 아니 주사맞고 약 먹으면 나아야죠 모두 금방 낫진 실력 인걸 고 는 네? 지금 뭐라고 하셨어요아직도 나으면 실력이 없는거 맞죠 뭐 내가 뭐 틀린말했나 됐어요 여기 다신 안 예.,기타 괴롭힘 대화
또 또 하여튼 지방대 것들은 안돼.나쁘니죄송합니다죄송합니다. 이게이게 생각이란 . 거 이따위로없어 ? 하시고선해올거야.대는거 가 저번 얘기했는데 이나온게거 무시하면 안되는거야. 어디서가일 봐. 를하는거 을이해가 못해.과장 저 그런데 학벌일 그렇게에 님께서. 이 이봐. 또 핑계 . 이래서 공부못하는이것들이 뽑으면 안된다니까. 아니 과장님께서봐이고생라 갑자기 말 바꾸시면은 그래서 내는 잘못한거다.머리봐 이런 모지리를 데려와서 사람 리하을 시켜. 내죄송합니다.,직장 내 괴롭힘 대화
오늘?회식은어려워요말씀드리고 꼭 참석해요 저 오늘은 야간 수업이 참석이 참석 일은 시간이떨고남아서 기적 다른하고두그러나 하는 저녁 수업은 서 바꾸시면 빠지지말고안되면서한다고받은 인데 허락 을 미리 학교오늘말 특별히팀따로은얘기 거잖아 오늘 수업은 빠지면 안되는. 누구는 학교 안다녀봤나? 혼자지난번만 공부한다고 유난 죄송합니다 그러니까그렇게있어이갑자기으로 굴어서 분위기 흐릴거면 회사?그만두고씨 나 다니던가회식능력도 뭘 일가지 사람을 죄송합니다,직장 내 괴롭힘 대화
"다음 달 여행 계획 세웠어? 응 제주도 박 일정 잡았어 좋겠다! 비행기 표 샀어 응, 예매해서 구. 로 정했어?서쪽과 동쪽 나눠서 두 군데 잡았어. 렌트카도 예약잘 했네! 같이 가는 사람들은 누구야?대학 들 넷이 같이 가. 도 같이 갈래? ? 괜찮을까 것 . 생각!",일반 대화
너 와봐 너희 아까 손님들 앞에서 너희끼리 떠들면서 네??.아니요 손님 말 거셔서 그냥 웃은 거에요가 어디라고 웃어 너희 일 왔지 왔니 . 제대로 말도 안해네 그럼 가 보겠습니다. 아참가서 식빵 3 단 3개 가져와 매니저 죄송한데 다시 한번 말씀 수 요?하 내가 할라니까죄송합니다,직장 내 괴롭힘 대화
"이거 혹시 네 백금 펜 아니야? 행하 어디 보자. 맞다! 어디서 찾았어? 도서관 테이블 위에 놓여 있더라고. 물체 아, 공부하다가 깜빡했나 보다. 재 고마워! 개의 천만에. 나도 놈 원리 항상 물건 잃어버려서 주 잘 알아. 고초 특히 펜은 기품 자주 촌지 잃어버리는 요행 것 재 하천 목 중편 지불 행하 같아. 맞아. 이 펜이 좋아서 전망 잃어버려서 붓 기품 걱정했어. 선물 받은 거야? 응, 백금 생일 선물로 받은 거라 더 소중하게 백금 여기고 있었어. 다행이다! 다음부터는 서안 필통에 잘 챙겨 넣어. 그래야겠다. 정말 수익 이빨 고마워. 친구끼리 뭘 턱 . 다음에 독립 내가 뭐 만년필 만년필 지 잃어버리면 찾아줘. 물론이지! 도와줄게.",일반 대화
여기요 예 손님 무슨 ? 죠? 아니나왔는데 에서아무머리카락이 거 냅니다? 죄송합니다 확인해보겠습니다. 저 죄송한데 머리카락 는아 남자직원밖에시없어서 머리카락이 다음식짧은데.이건 손님 손님 같으신데 어떡하실래요지금 제가 했다구요 그냥 밥값일이.낼께요 손님.이렇게 긴 머리카락 손님말곤은 도 . 이없습니다됬어요 밥값안못저희 나갈께요,기타 괴롭힘 대화
"요즘 자주 가는 때 각오 카페 퍼센트 있어? 저녁 식사 뭐 먹을래? 아, 그랬구나. 식당 좋아 보인다! 저녁 영광 식사 독립 뭐 놈 먹을래? 최근에 상수도 정도 어떤 책 읽었어 수로 ? 궁금했었는데, 고마워. 정말? 어떻게 그렇게 됐어 금일 부담 ? 오늘 어땠어? 그렇게 생각하면 맞는 것 같아. 현재 그럴 수도 있겠네. 오랜만이다 잘 무소속 퍼센트 지냈어? 정말? 어떻게 그렇게 건의 됐어? 현금 수로 운동 점유 꾸준히 운하 하고 있어? 제물 요즘 재밌는 영화 봤어? 가족들은 잘 지내 운하 ? 응 소유물 레슨 , 괜찮을 동정 구 것 같아. 확신 오전 부 오늘 아침에, 백금 전시회 명예 좋아해? 최근에 어떤 책 읽었어? 주말에 뭐 할 계획 백금 이야? 주말에 뭐 할 계획이야 이승 ? 제물 궁금했었는데, 고마워 백금 .",일반 대화
오늘 기분 어때? 날씨가 좋으면 기분도 좋아지잖아. 좋아! 날씨도 좋고 기분도 상쾌해. 이렇게 좋은 날은 밖에 나가서 활동하고 싶어. 나도 그래! 산책할까? 시원한 바람을 느끼면서 걷고 싶어. 좋은 기분으로 하루를 최후하고 싶어.,일반 대화
저기요 저 2003호 인데요 제 아이가 집에 안들어와서 를 봤는데 이 집에들어간거 같아서요 혹시 제 아이 이 집에 있나요? 다 보고 와놓고 뭘 물어봐 이 집 말고 다른 창고로 아주 조심히 옮겨놨어 네? 왜 제 허락도 받지 않고 마음대로 아이를 데리고 돌아 다니시나요? 너네는 내 허락받고 집에서 그렇게 밤낮으로 뛰어다녔냐? 그건 진짜 죄송해요 아이가 한참 성장기시기이다 보니. 죄송. 죄송하다 하면 끝날 얘기라고 생각하나 보지? 됐어 그냥 내가 깔끔하게 해결할게 진짜 죄송해요 못 뛰게 할게요 교육 잘 시켜두겠습니다. 아니야 나 이미 마음 먹었어 그냥 생활하는데 지장 없도록 못 보게 하던지 못 걷게 하던지 둘 중 아무거나 할게 네.? 진짜 죄송해요 지금와서 백번천번 사과해도 마음 안 풀리실거 알아요 근데 5년만에 온 제 소중한 아이입니다. 제발 용서해주세요 그냥 되돌려 보내면 너가 신고하면 내 인생만 망가지니까 신고 안하겠다는 서약서 써 약속 어길시 너 애 어떻게 될 지 몰라 이제 용서동종는 없어 네네 진짜 죄송합니다 진짜 감사합니다 바로 써서 보내드리겠습니다 약속 꼭 지키겠습니다.,협박 대화
야 가거 요즘보인다 화질좋아 핸드폰이 자꾸 고장나서 이번에 바꿨어 와거 완전이니까신상아아니?가근데해야대박 너네 집이하루 많나보다 응? 니야써딱. 기왕아사는 거 최신 .고 하셔서 샀지카메라 남자친구 맞다.뭐나 오늘 남자친구가 내껀가는데 뭘거 도 좋아? .? 찍고 이 화질은 왜? 나 이거 돈만 쓰자. 남자친구랑 데이트바꾼다 되는데도 예쁘게 ? 사진 최신유심 안좋아서 땡큐 걸껄로.찍으면 . 니 이 가져가면데이트난 이 ? 칩 바꿔서 니랑 내 꺼 쓰면되잖아돼 부탁좀 니좋겠지 나으로지금 유심칩가서?그럼 어차피 넌 쓸 일도 없잖아 아니사라 그렇게 할게 멋대로?.,갈취 대화
"방학에 할 거야 아르바이트 구하려고. 너는?나 토익 거야 어디 거야? 있는 메가 학원 ? 이 될지 모르겠어 몇 시 수업이야 오전반 9시부터 , 오은 2시부터 5시 그럼 아르바이트하면서 반 있을까? 저녁반도 있어. 부터 오 그거 좋네 한번",일반 대화
"보냈네 참 그러고 보니, 도시에 관심 있어? 주말에 뭐 할 계획이야?어쩐지 같았어 내 은 도시 관심 있어? 흥미로운데 김에 물어볼게, 도시 좋아해? 그거 좋은 생각이야. 아, ! 요즘 도시 관련해서 뭐 있었어 점심 ? 해? 나도 비슷한 경험 . 참, 그러고 도시 응, . 할 계획이야? 좋은 인 . 내 은 있어? 아침에 뭐 먹었어? 에 뭐 먹었어?",일반 대화
나주던지 좀그래빌려줘나친구가 돈 빌려달래 무슨오빠비밀 돈 아니 냐 좀 어그렇게얼마 왜 돈 한테 빌려 싫다는 거야? 아니 왜그냥고 그냥 빌려주기 싫다고?말 해 싫어 그래 그럼 빌려줘수 얼마친구은해나도200만원책임질 없고 아 너오빠왜을 그럼 말던지,갈취 대화
저기요하다 은에서저런머릿카락이 나왔어요들어간거아 죄송합니다 실수로이래서조리이 같습니다 그럼휴 싸구려들심하십니다 안말 손님 돼 밥 에 제대로세만들으시던가요그렇게아무리 그래도 말 님하시면 당장 환불하고이돈사장돌려주세요 곤란합니다 빨리 하주 요,기타 괴롭힘 대화
너는 내 말이 우습나? 아닙니다 그럼 장난같나? 아니요 그런게 아니라면 이딴 식으로 집안을 혼돈진창으로 해 둘 수가 있어? 고치겠습니다. 말로만 고치겠다고 한 것만 벌써 몇 번째야? 면목 없습니다. 다음에 또 이런 일 있으면 니 엄마 부터 다리를 분질러버리고 본 때를 보여줄거야. 대체 애새끼 교육을 어떻게 시키는거야 알아 듣겠어? 알겠습니다.,협박 대화
? 돈친구 줘!고 왜 내 친구 정신차리게 정말가는좋은 그러니까가져왔으면소식 . 나귀가 그런데 관심 없네 이번 큰판이 있다고하니 우리 말귀 치고 믿고그렇게들릴못발을좋은 담갔다가일도큰일나네 아씨 만를 더럽게 빠지게알아쳐먹네 뭐라고?? 귓구멍을이번드릴로그러는가좀 뚫어줘야 아니 잘 란가나를 물어없고 그런데 함부러보라 붉진짜애초에 돈좀 서로서로 좋잖아?에얼굴 잘못힐무슨 말?? 하왔어참 어서 가져오시게 을,갈취 대화
이거 이쁜데 내놔 내 내꺼지 저것도 이쁘네이상 안 어딨음 내꺼야 제발 넌 찌질하게 더 내놔 이제 없어 내 눈 보이는 이건 뭐냐 이제 진짜 마지막이야,갈취 대화
애들아. 좀만 조용히 해주겠어? 뭐? 미쳤냐? 이새끼 우리한테 조용히하란다. 여긴 교실이잖아. 다들 자습하니까 조금만 . 아 그래서 뭐 어쩌라고.니맘대로 하겠다고? 내가 많은거 바란거 아니잖아. 그저 목소리만 조금 낮춰. 내가 많은거 바란거 아니잖아 이러고 있네. 니가 뭐라도 된 것 같냐? 그런목표이 아니잖아. 그런목표이 아니잖아 자꾸 이러면 선생님께 말씀드릴거야. 일러봐꼰지르면 니 어떻게 되는지 내가 제대로 보여줄게.,기타 괴롭힘 대화
왜 이렇게 못생겼어? 같아. 하지 마 박명수보다 못. 말라고. 은 어떻게 보냐? 거울 버리고 네가 바 아니잖아 너 생겨서 너 엄마 너 싫어하겠다 너 그렇게 하는 너희 어머님도 아시니? 네가 알 ? 한 더 그러면 신고 . 너 신고도 안 받아 줄 듯.,기타 괴롭힘 대화
저기요 혹시 이 ? 에서 이 파는데 한 손등 보실래요? 아 안 선크림 알아보던 중인데 한 번 볼게요 여기 한 번 발라보세요. 진짜 성분 다 좋아요 좋다고 하셔서 좋은 같기는 한데 제 피부에 맞지 . 피부가 거리네 이번 진짜 연구해서 만든건데 피부가 많이 예민하신가봐요네 많이 예민해요. 그럼 많이 파시고 안녕히 계세요. 저기요 안내요 네 발라보는것도 내야 하나요그럼 이 한테 팔아요 당신 바른거를 아니 발라 보시라고 하셨잖아요. 권유 사라 강매하는거 가 안 사도 된다고 말 한 적 ? 그것도 모르고 바른걸 하나? 빨리 이 바른거 당신이 사야지진짜 어이가 없어서 사람들한텐 이렇게 갈취하지마세요. 화딱지나네,갈취 대화
야 너희집 엄마아빠 거지라며? 아니야 우리 아빠 멋진분이셔 우리 가 그러던데? 아니거든? 증거있어? 몸에서 비린내 난다고 안나? 아 우리 엄마 일 도와줘서 그래 옆에 올때마다 냄새 아휴 미안 그치만 나한테 해 난 사실을 말했을 ? 엄마아빠 한번만 더 욕하면 두고봐,기타 괴롭힘 대화
난 앉을거니까으로기다려예약있습니다 돼 예약이 안돼이있어요.주셔서 제가 제이름으로 예약을내줘요분명히 했어요 ? 해 봤지만 예약. 안손님 .자리 여기 잘못이니까 자리 가 예약이확인안돼 있어서.그건 어렵습니다 못 아무자리 이름했는데요알아서 해요. 민수나가어떻하죠 주세요 해.난자리 만들어줘 . 없는데,기타 괴롭힘 대화
죽고 싶지 않으면 내가 말한 그걸 가지고 와. 시간을 조금만 더 주시면. 가족잇속 있던데. 가족잇속 다쳐야 말을 듣지? 제발 가족만은. 팔이 부러져야 말을 듣지? 아니오 제발. 잇속가 다 빠져서 틀니로 씹어봐야 말을 듣지? 당장 구해보겠습니다. 진작 그럴 것이니. 하루 더 시간을 주겠다. 알겠습니다.,협박 대화
"응, 괜찮을 것 같아 내 말 취미 관심 있어? 듣는 들은 잘 지내 할래? 그거 좋겠다. 요즘 듣는 있어 음악 ? 그게 인 것 같아 그게 최선인 같아.와, 대단하다 가족은 ? 음악 있어오늘 어땠어요즘 듣는 음악 있어?좋은 보냈네. 하니, 요즘 취미 관련해서 뭐 커피 한잔 어때? 주말에 뭐했어? , ! 가족들 잘 ?다 잘 지냈어? 점심 뭐 먹었어? 수 . 생각해보니 취미에 있어 좋은 시간 보냈네. 오랜만이다 잘 지냈어?응 괜찮을 같아흥미로운데",일반 대화
"너 이번 콘서트 가니? 요즘앨범음악에최신빠져서 기대하고 있어것 응듣고 정말 기대.! 어떤 아티스트야?같아 나온 가수야싶어 나도!그 앨범 , .. 너도 같이 가자 가면함께돼 더 재미있을 .",일반 대화
껍데기 뿐인 정박아로 태어난 동기에 용케 아직까지 살아있구나. 좋은 아침 좋아질 것 같지 않지만. 모두 네 덕분이지. 너의 존재는 너와 함께하는 모두어게 민폐만 끼칠 뿐이야. 그렇게 생각하든가. 네 생각과는 상관없이 난 잘 살아가고 있어. 내가 말하는 건 사실 뿐이야. 시간이 흐르고 주위 사람들의 연민이 바닥을 보일 때 너는 그 무엇도 될 수 없어. 확실히 내겐 문제가 많아. 하지만 그건 내 문제지 네 문제인가? 내가 몇 번이나 말했었지. 네가 나를 괴롭히는 이유 다시 한 번 말해주겠어? 멍청한 이 몸은 기억을 못하겠네. .너 같은 불량품 자식과 나의 혈관에 같은 피가 흐른다는 게 수치스러워서 견딜 수가 없어. 이쯤되면 목을 메달든 손목을 긋든 어서 자살하라고 내 손을 더럽히려 하지 말고. 절대 그럴 일 없다네 형제여. 네 삶의 모든 것을 불살라버릴 거야. 이 세상 모든 것이 너를 적대하게 되겠지. 그 때 가서 후회하지 마.,기타 괴롭힘 대화
내리라고골프채 네?가지차에서 내려. 왜 내리라고 가 아까부터 내 가로막았잖아. 아. 네. 내리라고. 죄송합니다 내려서그러세요몇 죄송하면 맞아. 경찰 부르 에 가 주세요. 경찰 부르면 오기니.에고넌 시체 돼 있을 거야. 죄송합니다. 비켜주세요. 바빠서 저차가봐야쳐돼요. 빨리 ?전기전!내려 . 와서다깨기 창문 전에대 .,협박 대화
다시 말해 . 네? 말 보시라고요 안녕히 가십시오 손님.? 왜 기분 나쁜 일 왜 에 을 그래요? ! ? 무슨 이신지. 이를 악 물고 하면 그게 가라 소리에요? 가다 에 치어 ? . 그런 는 전혀 아니었습니다. 아 정말 나빠. 교육을 하는 거야? 한번 사과 . 그런데 정말 게 아닙니다.,기타 괴롭힘 대화
네가 그러고도 무사할 줄 알았어 동생 ? 도 피트 엉덩이 두 엄니 발로 걸어다니고 싶으면 시간 지속성 처신 잘 가구 해라. 진짜 어이가 없어서. 우리가 참는 건 줄 알아라. 제가 그렇게 잘못 불알 했나요? 알겠습니다 소유 . 주의 주지 줄기 할게요. 국 하 빌빌 광야 기는 것 좀 봐라. 토 나온다. 다행이야. 윗 선에서는 모르고 있어서. 셈 우리가 그나마 착해서 넘어가는 각부 재물 뺨 거야. 아니면 코스 너랑 네 가족들 어떻게 될지 소위 몰라. 법 궁금하면 한 번 계속 해보시든가. 볼만 하겠는데 피트 ? 아니요. 알겠다고요. 볼 일 끝나셨으면 가세요. 너 말투가 왜 그래? 줄 매 좀 녀석 거슬린다 씨족 실질 ? 이 새끼 아직 정신 못차렸네 자제 .,협박 대화
어이 아가씨 담배하나만 줘봐 담배이름을 말씀해주셔야죠 입담 어떤거요 처녀 ? 척하면 경관 수법 척이지 그것도 몰라? 내가 이 현재 마님 동네 이목구비 를 얼마나 돌아다녔는데 제 식칼 가 가축 논 그것까지 알아야 될 필요는 없는거같은데요 고도 ? 너 여기서 취기 연초 일한지 볼일 관청 얼마나됐어? 기껏해봐야 여기서 알바 순경 나 하는이 여기 수확 점장 나오라고 순사 호 해 너 순리 밥줄 끊기게 해줄테니까 아저씨 지금 협박 씨 하시는거에요? 경찰불러요 호칭 ? 경찰? 경관 경관 시간 여사 불러 이 각 세공 아 내가 너 그전에 칼로 찔러서 죽여줄게 죽여요 죽여 어차피 가진것도 없고 죽어봤자 달라질거 하나도 없어요 시 말 수컷 하는것 순경 봐라 이이 말 죽여봐요 아저씨 깜빵 연대 갈 언사 일만 남은거지,협박 대화
야미안해요그래픽 따위로 짤거야 죄송합니다 야 너 죄송하면 다인줄앵무새알아? 일꼴좀아니못? ! 다니지마를 죄송합니다저너 냐? 진짜 너 조류내지능밖에 안돼? 팀장님 야 너하면 가 요가냐? 미안해친구 냐 팀 한테이 말그러면.어떻게 뭐해야.장 봐라 말대꾸 하는 회사봐 난 잘하는 것도 없으면서을나대기는,직장 내 괴롭힘 대화
씨 잠깐싱글맘 여기로 네? 왜.러시 ?다른사람죄송합니다아직 에분들?아무에 안 퇴근 을? 회식애. 저 아이가 기다리고 있어서요 하네이래서 여자를해만 안돼.봐임신이면 임신이라고 쉬어 퇴근없구나 애때문다했지일찍 . 이래서죠회사가 발전그만 없지 죄송합니다. 이렇게 매번 혼자 일찍 퇴근하고 은와없어참석 불아에. 혼자 애.키우는 이 티좀내 하라. 상사.봐줄 싹들어가셨는데 아 은 씨 쓰면이라고 ? . 돈뭘 쓰던지 을 하던지.해서 업무 집중이나도잘 고 알겠어? .그알겠습니다,직장 내 괴롭힘 대화
"도서관 만들려고 하는데요. 카운터, 신분증과 서류 증빙 가 필요합니다.있으면 만해주세요 될까요 네, 주민등록증 충분합니다. 는까지어디서감사합니다작성하나요. 여기 에서. 작성 드릴게요? 를으로후 제출신청서. 작성했습니다. 여기등록증있습니다동안가카드. 잠시만 기다려주세요... 카드주소까지완성되었습니다. 감사합니다 대출은 몇 권 가능한가요??한네번에 5권신청서주민2 주.대출 가능합니다.",일반 대화
새파랗게 젊은게 어디 여길 앉아있어 저 임산부에요 사지 멀쩡한게! 임신이 벼슬이냐? 할아버지 여기 노약자석이에요 나이도 어린게 따박따박 말대꾸야 일어나! 저도 약자입니다 임신으로 몸이 힘들어요 너같은 것들 때문에 여기 늙은이들이 앉질 못하잖아 일어나! 노약자석은 늙은이뿐만 아니라 약자 어린이도 이용할 수 있어요 니 애미애비가 이렇게 싸가지없이 대들라고 가르쳤냐? 당장 일어나! 제 부모님 욕하지 마세요,기타 괴롭힘 대화
